ticker,as_of,book_value_per_share,earnings_per_share,return_on_equity
CDNS,2016-02-18,4.4478040802606404,0.8848484848484849,0.18443787566644304
CDNS,2017-02-10,2.6672875486787078,0.7139118457300275,0.2752941358230673
CDNS,2018-02-20,3.5069752931041207,0.7541322314049588,0.20746573845986763
CDNS,2019-02-27,4.601185650768709,1.2669421487603307,0.269855508834607
CDNS,2020-02-24,7.514227010416108,3.6399449035812674,0.47288542366386177
CDNS,2021-02-22,8.937438383027235,2.130810810810811,0.23371765640052514
CDNS,2021-05-14,8.937438383027235,2.130810810810811,0.23371765640052514
CDNS,2022-02-22,9.901425598635818,2.553994490358127,0.25533471236462457
CDNS,2023-02-13,10.067343907582286,3.147245179063361,0.3109633087918797
CDNS,2024-02-14,12.529244845531567,3.8706043956043956,0.30667484630756064
CDW,2016-02-25,6.515457788347206,2.3765109890109892,0.3688360412285953
CDW,2016-05-05,6.2833836858006045,1.9061111111111109,0.303415926745093
CDW,2016-08-04,6.209558823529412,2.3795580110497236,0.3886293828444698
CDW,2016-11-03,6.1713395638629285,2.6071428571428568,0.4335620630421236
CDW,2017-03-01,6.522145976294448,2.59,0.4059301769488283
CDW,2017-05-04,5.742405063291139,1.4764044943820223,0.26036010040904173
CDW,2017-08-04,5.45694087403599,2.5549999999999997,0.474525314385166
CDW,2017-11-02,5.274689339437541,2.818014705882353,0.5454168338135006
CDW,2018-03-01,6.424183006535948,3.379258241758242,0.5335607011769389
CDW,2018-05-03,6.562870309414088,3.4039325842696626,0.5224623298517539
CDW,2018-08-03,7.0554455445544555,4.015,0.5691209031091152
CDW,2018-10-31,7.691848906560637,4.280698529411764,0.559216611172771
CDW,2019-02-27,6.602572782667569,4.271703296703296,0.6611633342047616
CDW,2019-05-01,6.338345864661654,4.265168539325843,0.6762232263051967
CDW,2019-07-31,6.4558620689655175,4.846388888888889,0.75708613752092
CDW,2019-10-31,6.498262682418346,5.072426470588234,0.7909975026263312
CDW,2020-02-28,6.7153846153846155,5.093956043956044,0.7693680889557178
CDW,2020-05-06,6.252283907238229,4.785555555555555,0.7653453723477327
CDW,2020-08-05,7.402524544179523,5.041436464088398,0.6819980362559902
CDW,2020-11-02,8.67296918767507,5.16080586080586,0.5939567094189622
CDW,2021-02-26,9.140944326990839,5.53,0.6078945339603732
CDW,2021-05-05,8.335470085470085,6.766853932584269,0.8151083895707141
CDW,2021-08-04,7.5835140997830806,7.3,0.9796672387490465
CDW,2021-11-03,6.145374449339207,7.434191176470588,1.2397853854803569
CDW,2022-02-28,5.235163204747774,7.1596153846153845,1.40472712776808
CDW,2022-05-04,6.610658771280533,7.587078651685393,1.148920751982427
CDW,2022-08-03,8.181952662721894,7.948888888888888,0.9706276743204966
CDW,2022-11-02,9.800443458980045,8.2125,0.8372274531984739
CDW,2023-02-24,11.832472324723247,8.262637362637363,0.697038491353342
CDW,2023-05-03,11.621481481481482,6.9719101123595495,0.6014841859429171
CDW,2023-08-02,12.038805970149253,7.401388888888889,0.619319434113012
CDW,2023-11-01,13.507462686567164,8.051470588235293,0.5991895515112122
CDW,2024-02-26,15.231170768083519,8.22252747252747,0.5421462870055281
CDW,2024-05-01,15.912946428571429,6.529444444444445,0.4097842406861904
CDW,2024-07-31,16.279191616766468,7.461325966850829,0.4610055101282361
CDW,2024-10-30,17.63738738738739,8.115567765567766,0.46302312168740467
CE,2018-10-19,26.478427010047422,10.990257352941175,0.41989218731830485
CE,2019-02-07,23.29505618874504,9.014697802197801,0.4056018545797366
CE,2019-04-23,24.065555869479294,10.82696629213483,0.4535866923811595
CE,2019-07-23,23.14523939155853,8.76,0.3865805400372439
CE,2019-10-22,22.640115550138777,8.66875,0.39519716696289
CE,2020-02-06,20.969391989760847,6.898901098901098,0.3407820739292618
CE,2020-04-28,20.705597712667508,7.421666666666667,0.3611564996368918
CE,2020-07-29,21.024903427470118,5.525414364640884,0.2635250262691965
CE,2020-10-26,21.393879673365273,6.003113553113553,0.2836052836052836
CE,2021-02-11,30.884185321088317,16.85,0.5629608621667612
CE,2021-04-23,31.44738293494181,11.647191011235954,0.37282941777323797
CE,2021-07-23,34.180667705934155,15.451666666666666,0.4591597917032356
CE,2021-10-22,35.894746345456404,16.357904411764704,0.467734491091665
CE,2022-02-10,38.778514740302214,17.036675824175823,0.4524211763409663
CE,2022-04-29,42.53635956218332,19.029213483146066,0.44687737029386154
CE,2022-07-29,45.04087297703142,17.52,0.3889344262295082
CE,2022-11-04,45.669793608238365,13.955882352941176,0.30552213309566245
CE,2023-02-24,51.96640239795124,17.52802197802198,0.3369173845491035
CE,2023-05-10,52.037593038224934,3.4449438202247187,0.06592514523776916
CE,2023-08-08,51.668649794090236,5.799444444444444,0.1121335150940414
CE,2023-11-08,59.63030971804647,15.566176470588234,0.2608985744968146
CE,2024-02-23,65.11094212200113,18.059478021978023,0.27716607183537095
