ticker,gics_sector,n_test_bars,n_trades,total_return,sharpe
TSLA,Consumer Discretionary,132,38,0.015457214632094818,0.46060036946790645
BIIB,Health Care,132,5,0.00500855203962991,0.437890090442531
NVR,Consumer Discretionary,132,6,0.0073718757210665675,0.4365152672363671
PGR,Financials,132,6,0.005401080489328081,0.4274907795681362
RJF,Financials,132,4,0.003937019120018981,0.3994009399646481
CPT,Real Estate,132,2,0.00177848549859827,0.3936776866620375
AMP,Financials,132,4,0.00291984483988017,0.3932683606215588
COF,Financials,132,13,0.005792645253022366,0.3848851534555572
ULTA,Consumer Discretionary,132,15,0.004848631740550946,0.37893010175425673
MCHP,Information Technology,132,46,0.011979959118257666,0.36811086166689455
ICE,Financials,132,5,0.008882392793960747,0.36231759090062826
ODFL,Industrials,132,23,0.009351217817983093,0.35757247757312943
WYNN,Consumer Discretionary,132,20,0.005054665231078781,0.3449478661607222
CHTR,Communication Services,132,47,0.008261480445032277,0.33200085157507575
KEYS,Information Technology,132,33,0.008722654488507287,0.3276314633037136
APO,Financials,132,39,0.00853284356981665,0.3247696045553253
SHW,Materials,132,11,0.00543063611141581,0.3246462665369371
BAC,Financials,132,5,0.0026144950726838534,0.3087060936717598
FITB,Financials,132,3,0.002743220102865207,0.3071745836071723
MSCI,Financials,132,5,0.003503184913104862,0.27968297708214607
PLD,Real Estate,132,3,0.0009248150719574078,0.2725467681295719
QCOM,Information Technology,132,41,0.01055044582427489,0.2533221748544825
PNC,Financials,132,6,0.002761719455435685,0.246388159117694
BNY,Financials,132,5,0.0012472497794706605,0.23729396172774775
SYF,Financials,132,8,0.002171109340099342,0.23249720490907402
BR,Industrials,132,8,0.002620602395309035,0.2299342663989603
TMUS,Communication Services,132,10,0.0036253606124996285,0.2282050767686156
VRTX,Health Care,132,6,0.0016844791362742306,0.2281273718875322
CSCO,Information Technology,132,21,0.00778359589169475,0.20490955621145285
TTWO,Communication Services,132,32,0.004009950731562961,0.19775216611333
ADSK,Information Technology,132,55,0.0050958309526158985,0.1950454288496064
HCA,Health Care,132,6,0.0017818832355829262,0.18275205055915597
SYK,Health Care,132,3,0.0014691726351492296,0.18272080305474758
MSI,Information Technology,132,4,0.001964813974149715,0.17808290499314924
EA,Communication Services,132,6,0.0008347105241302,0.1739189113158361
ABNB,Consumer Discretionary,132,17,0.002281920121611769,0.16838956729810048
MS,Financials,132,14,0.001673533033221375,0.15712566492382862
PSA,Real Estate,132,2,0.0012366108709678247,0.15333514930906503
RVTY,Health Care,132,32,0.0033129050168454466,0.13854373812009282
VRSK,Industrials,132,27,0.002916767773402551,0.13724269872658465
TDG,Industrials,132,7,0.0018838304741211065,0.13250005633626005
SO,Utilities,132,6,0.0013145532164238194,0.12766275320791362
ROL,Industrials,132,5,0.0012176513305215408,0.1262962552420996
NUE,Materials,132,11,0.001655455488043911,0.11137037739682805
EXC,Utilities,132,6,0.000706280071733012,0.10150481789345354
KVUE,Consumer Staples,132,4,0.0006276549390382691,0.09776758191487069
GPN,Financials,132,35,0.0018798668159167864,0.09098717639504822
ACGL,Financials,132,3,0.0002964131068743381,0.08488162697849676
RF,Financials,132,5,0.0006981480173646748,0.08047673140005746
TECH,Health Care,132,42,0.0011472170652069291,0.06602409534349107
ZBRA,Information Technology,132,41,0.0010108121342093934,0.0630411768795078
CAT,Industrials,132,19,0.0007930211793509834,0.05557543551381191
WBD,Communication Services,132,4,0.00038410438065961117,0.05476101790531405
AXP,Financials,132,6,0.0002944819549228761,0.04510225883104213
FAST,Industrials,132,3,0.00024954777526486893,0.0436322139496228
EW,Health Care,132,6,0.00020761448087713852,0.029468731504097585
PM,Consumer Staples,132,8,-0.00005343332757201669,0.010913035603217523
HON,Industrials,132,7,-0.00002709707745673917,0.006109727242463939
USB,Financials,132,5,-0.00006684333568551803,0.0034218422831401064
ON,Information Technology,132,59,-0.0018679997082471367,0.0028950066321653195
EQIX,Real Estate,132,0,0.0,0.0
AMCR,Materials,132,19,-0.0016314569133991652,-0.01642017509541327
FICO,Information Technology,132,76,-0.0034095591661942315,-0.02679140381741617
IP,Materials,132,62,-0.0027315678037627134,-0.02922584852258859
HLT,Consumer Discretionary,132,5,-0.0007341787883859974,-0.0343273109334917
CI,Health Care,132,7,-0.0005956436744584126,-0.03786416295628544
V,Financials,132,6,-0.0009781139134189543,-0.04596860465086222
ADP,Industrials,132,7,-0.000433031236057424,-0.05141488678205936
BF.B,Consumer Staples,132,43,-0.0029393009123711566,-0.05307621363923525
CINF,Financials,132,5,-0.0003844978438234392,-0.053748354275170884
GL,Financials,132,3,-0.000697720273598379,-0.05436999093548353
